nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.340 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.341 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.341 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.341 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.344 DEBUG2 : 		ReadTarget16
nov 1/17:32:10.344 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.345 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 1/17:32:10.345 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 1/17:32:10.345 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 1/17:32:10.346 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 1/17:32:10.346 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 1/17:32:10.346 DEBUG2 : 		Go >
nov 1/17:32:10.348 DEBUG2 : 		Go <
nov 1/17:32:10.350 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.352 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.354 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.356 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.358 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.360 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.362 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.364 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.366 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.368 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.370 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.372 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.374 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.376 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.378 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.380 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.382 DEBUG2 : 		STLinkIsCpuHalted
